# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.0 Build 156 04/24/2013 SJ Web Edition
# File: D:\Documents\lab02\switchDetector\switchDetector.csv
# Generated on: Wed Mar 20 17:45:16 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
ledOut[0],Output,PIN_J1,1,B1_N1,PIN_H12,,,,,
ledOut[1],Output,PIN_J2,1,B1_N1,PIN_U14,,,,,
ledOut[2],Output,PIN_J3,1,B1_N1,PIN_AB16,,,,,
ledOut[3],Output,PIN_H1,1,B1_N1,PIN_AB20,,,,,
ledOut[4],Output,PIN_F2,1,B1_N0,PIN_L6,,,,,
ledOut[5],Output,PIN_E1,1,B1_N0,PIN_A8,,,,,
ledOut[6],Output,PIN_C1,1,B1_N0,PIN_E13,,,,,
ledOut[7],Output,PIN_C2,1,B1_N0,PIN_N22,,,,,
ledOut[8],Output,PIN_B2,1,B1_N0,PIN_V12,,,,,
ledOut[9],Output,PIN_B1,1,B1_N0,PIN_F10,,,,,
switchIn[0],Input,PIN_J6,1,B1_N0,PIN_C15,,,,,
switchIn[1],Input,PIN_H5,1,B1_N0,PIN_R15,,,,,
switchIn[2],Input,PIN_H6,1,B1_N0,PIN_AA14,,,,,
switchIn[3],Input,PIN_G4,1,B1_N0,PIN_AA20,,,,,
switchIn[4],Input,PIN_G5,1,B1_N0,PIN_M6,,,,,
switchIn[5],Input,PIN_J7,1,B1_N1,PIN_C10,,,,,
switchIn[6],Input,PIN_H7,1,B1_N0,PIN_B14,,,,,
switchIn[7],Input,PIN_E3,1,B1_N0,PIN_N21,,,,,
switchIn[8],Input,PIN_E4,1,B1_N0,PIN_AB14,,,,,
switchIn[9],Input,PIN_D2,1,B1_N0,PIN_A5,,,,,
