# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\repositories\el68a-logica-reconfiguravel\lab-s5\two_multiplier\two_multiplier.csv
# Generated on: Sun Apr 14 19:47:58 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
button_inputs[0],Input,PIN_H2,1,B1_N1,PIN_A10,,,,,
button_inputs[1],Input,PIN_G3,1,B1_N0,PIN_D10,,,,,
button_inputs[2],Input,PIN_F1,1,B1_N0,PIN_L6,,,,,
display_outputs[0][0],Output,PIN_E11,7,B7_N1,PIN_AB9,,,,,
display_outputs[0][1],Output,PIN_F11,7,B7_N1,PIN_AB8,,,,,
display_outputs[0][2],Output,PIN_H12,7,B7_N1,PIN_Y10,,,,,
display_outputs[0][3],Output,PIN_H13,7,B7_N1,PIN_V11,,,,,
display_outputs[0][4],Output,PIN_G12,7,B7_N1,PIN_AA9,,,,,
display_outputs[0][5],Output,PIN_F12,7,B7_N1,PIN_V9,,,,,
display_outputs[0][6],Output,PIN_F13,7,B7_N1,PIN_T11,,,,,
display_outputs[1][0],Output,PIN_A13,7,B7_N1,PIN_M22,,,,,
display_outputs[1][1],Output,PIN_B13,7,B7_N1,PIN_K19,,,,,
display_outputs[1][2],Output,PIN_C13,7,B7_N1,PIN_L16,,,,,
display_outputs[1][3],Output,PIN_A14,7,B7_N1,PIN_M20,,,,,
display_outputs[1][4],Output,PIN_B14,7,B7_N1,PIN_M21,,,,,
display_outputs[1][5],Output,PIN_E14,7,B7_N1,PIN_N22,,,,,
display_outputs[1][6],Output,PIN_A15,7,B7_N1,PIN_N18,,,,,
display_outputs[2][0],Output,PIN_D15,7,B7_N0,PIN_N19,,,,,
display_outputs[2][1],Output,PIN_A16,7,B7_N1,PIN_M16,,,,,
display_outputs[2][2],Output,PIN_B16,7,B7_N1,PIN_N17,,,,,
display_outputs[2][3],Output,PIN_E15,7,B7_N0,PIN_P21,,,,,
display_outputs[2][4],Output,PIN_A17,7,B7_N1,PIN_L15,,,,,
display_outputs[2][5],Output,PIN_B17,7,B7_N1,PIN_N21,,,,,
display_outputs[2][6],Output,PIN_F14,7,B7_N0,PIN_M19,,,,,
display_outputs[3][0],Output,PIN_B18,7,B7_N0,PIN_A18,,,,,
display_outputs[3][1],Output,PIN_F15,7,B7_N0,PIN_A19,,,,,
display_outputs[3][2],Output,PIN_A19,7,B7_N0,PIN_B18,,,,,
display_outputs[3][3],Output,PIN_B19,7,B7_N0,PIN_D15,,,,,
display_outputs[3][4],Output,PIN_C19,7,B7_N0,PIN_B17,,,,,
display_outputs[3][5],Output,PIN_D19,7,B7_N0,PIN_B19,,,,,
display_outputs[3][6],Output,PIN_G15,7,B7_N0,PIN_G13,,,,,
led_outputs[0],Output,PIN_J1,1,B1_N1,PIN_AA10,,,,,
led_outputs[1],Output,PIN_J2,1,B1_N1,PIN_AA8,,,,,
led_outputs[2],Output,PIN_J3,1,B1_N1,PIN_W10,,,,,
led_outputs[3],Output,PIN_H1,1,B1_N1,PIN_U11,,,,,
led_outputs[4],Output,PIN_F2,1,B1_N0,PIN_L22,,,,,
led_outputs[5],Output,PIN_E1,1,B1_N0,PIN_J17,,,,,
led_outputs[6],Output,PIN_C1,1,B1_N0,PIN_J18,,,,,
led_outputs[7],Output,PIN_C2,1,B1_N0,PIN_K21,,,,,
led_outputs[8],Output,PIN_B2,1,B1_N0,PIN_H22,,,,,
led_outputs[9],Output,PIN_B1,1,B1_N0,PIN_K17,,,,,
switch_inputs[0],Input,PIN_J6,1,B1_N0,PIN_G4,,,,,
switch_inputs[1],Input,PIN_H5,1,B1_N0,PIN_K7,,,,,
switch_inputs[2],Input,PIN_H6,1,B1_N0,PIN_G3,,,,,
switch_inputs[3],Input,PIN_G4,1,B1_N0,PIN_K8,,,,,
switch_inputs[4],Input,PIN_G5,1,B1_N0,PIN_L8,,,,,
switch_inputs[5],Input,PIN_J7,1,B1_N1,PIN_J7,,,,,
switch_inputs[6],Input,PIN_H7,1,B1_N0,PIN_M1,,,,,
switch_inputs[7],Input,PIN_E3,1,B1_N0,PIN_M4,,,,,
switch_inputs[8],Input,PIN_E4,1,B1_N0,PIN_B10,,,,,
switch_inputs[9],Input,PIN_D2,1,B1_N0,PIN_M2,,,,,
