# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\repositories\el68a-logica-reconfiguravel\lab-s6\led_switch_counter\output_files\led_switch_counter.csv
# Generated on: Wed Apr 24 17:33:20 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
inputs[0],Input,PIN_J6,1,B1_N0,PIN_R2,,,,,
inputs[1],Input,PIN_H5,1,B1_N0,PIN_R1,,,,,
inputs[2],Input,PIN_H6,1,B1_N0,PIN_P4,,,,,
inputs[3],Input,PIN_G4,1,B1_N0,PIN_P2,,,,,
inputs[4],Input,PIN_G5,1,B1_N0,PIN_N5,,,,,
inputs[5],Input,PIN_J7,1,B1_N1,PIN_F7,,,,,
inputs[6],Input,PIN_H7,1,B1_N0,PIN_U1,,,,,
inputs[7],Input,PIN_E3,1,B1_N0,PIN_P3,,,,,
inputs[8],Input,PIN_E4,1,B1_N0,PIN_V2,,,,,
inputs[9],Input,PIN_D2,1,B1_N0,PIN_AA1,,,,,
outputs[0],Output,PIN_J1,1,B1_N1,PIN_T3,,,,,
outputs[1],Output,PIN_J2,1,B1_N1,PIN_W2,,,,,
outputs[2],Output,PIN_J3,1,B1_N1,PIN_V1,,,,,
outputs[3],Output,PIN_H1,1,B1_N1,PIN_N8,,,,,
outputs[4],Output,PIN_F2,1,B1_N0,PIN_N7,,,,,
outputs[5],Output,PIN_E1,1,B1_N0,PIN_M8,,,,,
outputs[6],Output,PIN_C1,1,B1_N0,PIN_M7,,,,,
outputs[7],Output,PIN_C2,1,B1_N0,PIN_W1,,,,,
outputs[8],Output,PIN_B2,1,B1_N0,PIN_Y2,,,,,
outputs[9],Output,PIN_B1,1,B1_N0,PIN_Y1,,,,,
